run_id,epoch,steps_in_epoch,total_tokens,train_loss,train_ppl,train_eval_loss,train_eval_ppl,val_loss,val_ppl,grad_norm_last,grad_over_clip_last,would_clip_last,epoch_ms,step_ms_avg,tokens_per_sec,param_count,param_norm,update_norm,max_rss_kb,train_bytes,val_bytes
1774129092,6,1206,9879552,2.167184,8.733659,2.136348,8.468456,2.168298,8.743388,0.612870,0.612870,0,1207092.639,1000.838,8184.585,660992,64.891510,8.585796,101828,9961472,524288
1774129092,7,1206,9879552,2.136496,8.469710,2.113067,8.273581,2.159079,8.663157,1.141690,1.141690,1,1169802.156,969.928,8445.490,660992,67.532234,8.886532,101828,9961472,524288
1774129092,8,1206,9879552,2.103155,8.191978,2.075324,7.967124,2.116124,8.298910,1.393847,1.393847,1,1156221.014,958.603,8544.692,660992,69.755516,7.234411,101828,9961472,524288
1774129092,9,1206,9879552,2.084130,8.037592,2.051747,7.781480,2.092135,8.102193,0.330462,0.330462,0,1159308.051,961.227,8521.939,660992,71.940361,6.364011,101828,9961472,524288
1774129092,10,1206,9879552,2.062141,7.862787,2.034962,7.651961,2.067687,7.906511,1.404662,1.404662,1,1165705.139,966.491,8475.172,660992,73.926476,5.836269,101828,9961472,524288
1774129092,11,1206,9879552,2.047596,7.749246,2.014028,7.493441,2.053331,7.793818,5.116500,5.116500,1,1162339.607,963.656,8499.712,660992,75.720039,5.522785,101828,9961472,524288
1774129092,12,1206,9879552,2.033699,7.642302,2.002047,7.404197,2.035276,7.654364,0.761142,0.761142,0,1058962.864,878.000,9329.460,660992,77.495247,5.238458,101828,9961472,524288
1774129092,13,1206,9879552,2.020783,7.544231,2.002445,7.407143,2.034492,7.648362,1.051795,1.051795,1,1206682.219,1000.507,8187.369,660992,79.049721,5.225506,101828,9961472,524288
1774129092,14,1206,9879552,2.012124,7.479183,1.991836,7.328979,2.018581,7.527633,0.518733,0.518733,0,1223861.214,1014.744,8072.445,660992,80.288445,5.556586,101828,9961472,524288
1774129092,15,1206,9879552,2.001210,7.398004,1.971078,7.178412,1.999750,7.387210,0.818846,0.818846,0,1094023.966,906.974,9030.471,660992,81.447762,5.416082,101844,9961472,524288
1774129092,16,1206,9879552,1.988354,7.303504,1.967327,7.151536,1.993088,7.338157,0.646477,0.646477,0,969391.352,803.755,10191.500,660992,82.729324,5.052697,101844,9961472,524288
1774129092,17,1206,9879552,1.978432,7.231392,1.958284,7.087152,1.988195,7.302341,1.104660,1.104660,1,1383824.588,1147.289,7139.309,660992,84.068375,5.047318,101844,9961472,524288
1774169374,1,1206,9879552,1.972374,7.187719,1.959056,7.092627,1.983136,7.265495,0.446311,0.446311,0,1051332.036,871.696,9397.176,660992,71.873978,21.501842,97796,9961472,524288
