run_id,epoch,step_in_epoch,global_step,train_loss,train_ppl,grad_norm,grad_over_clip,would_clip,step_ms,tokens_per_sec,max_rss_kb,bad_loss
1774027413,1,66,66,2.672295,14.473148,0.640887,0.640887,0,1703.059,4810.168,50764,0
1774027413,1,67,67,2.676097,14.528281,0.477098,0.477098,0,1685.583,4860.040,50764,0
1774027413,1,68,68,2.723188,15.228797,0.856964,0.856964,0,1686.474,4857.471,50764,0
1774027413,1,69,69,2.689137,14.718975,0.727850,0.727850,0,1693.321,4837.831,50764,0
1774027413,1,70,70,2.713480,15.081665,0.517306,0.517306,0,1692.368,4840.556,50764,0
1774027413,1,71,71,2.644656,14.078608,0.785185,0.785185,0,1687.544,4854.393,50764,0
1774027413,1,72,72,2.665365,14.373198,0.521708,0.521708,0,1701.430,4814.774,50764,0
1774027413,1,73,73,2.691381,14.752038,0.498198,0.498198,0,1689.031,4850.117,50764,0
1774027413,1,74,74,2.679573,14.578860,0.846104,0.846104,0,1690.191,4846.789,50764,0
1774027413,1,75,75,2.695537,14.813477,0.657304,0.657304,0,1703.115,4810.011,50764,0
1774027413,1,76,76,2.703044,14.925090,0.447374,0.447374,0,1696.036,4830.085,50764,0
1774027413,1,77,77,2.681770,14.610929,0.530393,0.530393,0,1696.488,4828.800,50764,0
1774027413,1,78,78,2.692977,14.775593,0.490495,0.490495,0,1698.109,4824.189,50764,0
1774027413,1,79,79,2.692851,14.773737,0.588012,0.588012,0,1716.804,4771.657,50764,0
1774027413,1,80,80,2.700987,14.894426,0.556558,0.556558,0,1697.619,4825.581,50764,0
1774027413,1,81,81,2.662021,14.325210,0.965941,0.965941,0,1709.711,4791.452,50764,0
1774027413,1,82,82,2.711671,15.054409,0.534372,0.534372,0,1691.472,4843.119,50764,0
1774027413,1,83,83,2.679596,14.579202,0.525765,0.525765,0,1706.799,4799.627,50764,0
1774027413,1,84,84,2.664105,14.355095,0.589250,0.589250,0,1703.276,4809.555,50764,0
1774027413,1,85,85,2.660060,14.297142,0.683288,0.683288,0,1703.274,4809.560,50764,0
1774027413,1,86,86,2.669116,14.427214,0.816890,0.816890,0,1702.627,4811.387,50764,0
1774027413,1,87,87,2.678396,14.561714,0.990272,0.990272,0,1721.794,4757.828,50764,0
1774027413,1,88,88,2.671925,14.467797,1.284956,1.284956,1,1712.472,4783.727,50764,0
1774027413,1,89,89,2.662148,14.327024,1.095295,1.095295,1,1707.425,4797.868,50764,0
1774027413,1,90,90,2.690160,14.734037,0.550220,0.550220,0,1725.539,4747.501,50764,0
1774027413,1,91,91,2.641383,14.032593,0.775217,0.775217,0,1691.615,4842.710,50764,0
1774027413,1,92,92,2.674614,14.506756,1.212437,1.212437,1,1708.564,4794.670,50764,0
1774027413,1,93,93,2.663582,14.347591,0.909452,0.909452,0,1715.506,4775.269,50764,0
1774027413,1,94,94,2.668026,14.411496,0.744781,0.744781,0,1677.498,4883.463,50764,0
1774027413,1,95,95,2.661010,14.310729,1.086477,1.086477,1,1708.045,4796.126,50764,0
1774027413,1,96,96,2.642253,14.044806,1.112116,1.112116,1,1694.785,4833.651,50764,0
1774027413,1,97,97,2.660220,14.299437,1.444029,1.444029,1,1709.275,4792.675,50764,0
1774027413,1,98,98,2.661951,14.324203,1.067288,1.067288,1,1692.710,4839.577,50764,0
1774027413,1,99,99,2.626251,13.821848,1.264555,1.264555,1,1781.279,4598.943,50764,0
1774027413,1,100,100,2.691251,14.750111,0.821755,0.821755,0,1803.686,4541.810,50764,0
1774027413,1,101,101,2.631715,13.897578,1.381316,1.381316,1,1773.887,4618.107,50764,0
1774027413,1,102,102,2.632739,13.911819,0.659732,0.659732,0,1805.091,4538.276,50764,0
1774027413,1,103,103,2.666807,14.393938,0.772816,0.772816,0,1756.011,4665.118,50764,0
1774027413,1,104,104,2.666266,14.386157,1.077189,1.077189,1,1766.212,4638.174,50764,0
1774027413,1,105,105,2.634940,13.942472,0.891470,0.891470,0,1968.633,4161.262,50764,0
1774027413,1,106,106,2.659594,14.290480,0.937289,0.937289,0,1744.161,4696.813,50764,0
1774027413,1,107,107,2.691411,14.752484,0.709644,0.709644,0,1800.091,4550.880,50764,0
1774027413,1,108,108,2.625757,13.815031,0.882421,0.882421,0,1883.614,4349.086,50764,0
1774027413,1,109,109,2.674407,14.503754,0.934853,0.934853,0,1802.660,4544.394,50764,0
1774027413,1,110,110,2.647270,14.115454,1.126375,1.126375,1,1792.942,4569.028,50764,0
1774027413,1,111,111,2.662737,14.335477,1.179789,1.179789,1,1778.469,4606.209,50764,0
1774027413,1,112,112,2.649982,14.153790,1.322308,1.322308,1,1765.417,4640.265,50764,0
1774027413,1,113,113,2.641994,14.041181,1.038272,1.038272,1,2019.985,4055.476,50764,0
1774027413,1,114,114,2.649953,14.153378,0.723982,0.723982,0,1731.201,4731.976,50764,0
1774027413,1,115,115,2.657895,14.266221,1.549825,1.549825,1,1710.447,4789.392,50764,0
1774027413,1,116,116,2.624192,13.793422,0.721506,0.721506,0,1710.984,4787.889,50764,0
1774027413,1,117,117,2.632268,13.905268,0.912283,0.912283,0,1704.056,4807.354,50764,0
1774027413,1,118,118,2.636402,13.962870,1.275428,1.275428,1,1697.825,4824.998,50764,0
1774027413,1,119,119,2.648674,14.135283,0.746484,0.746484,0,1712.107,4784.749,50764,0
1774027413,1,120,120,2.619800,13.732975,1.413782,1.413782,1,1719.627,4763.825,50764,0
1774027413,1,121,121,2.609275,13.589200,1.143633,1.143633,1,1708.879,4793.786,50764,0
1774027413,1,122,122,2.637979,13.984905,1.304561,1.304561,1,1779.745,4602.906,50764,0
1774027413,1,123,123,2.666625,14.391316,1.060581,1.060581,1,1873.344,4372.928,50764,0
1774027413,1,124,124,2.625015,13.804778,1.044800,1.044800,1,1713.894,4779.760,50764,0
1774027413,1,125,125,2.620291,13.739724,1.041123,1.041123,1,1711.190,4787.312,50764,0
1774027413,1,126,126,2.611712,13.622355,1.036590,1.036590,1,1717.763,4768.994,50764,0
1774027413,1,127,127,2.682145,14.616410,0.778959,0.778959,0,1779.143,4604.464,50764,0
1774027413,1,128,128,2.688328,14.707062,0.952139,0.952139,0,1691.039,4844.360,50764,0
1774027413,1,129,129,2.622320,13.767627,1.444942,1.444942,1,1706.663,4800.010,50764,0
1774027413,1,130,130,2.619326,13.726464,1.130346,1.130346,1,1702.751,4811.037,50764,0
1774027413,1,131,131,2.600149,13.465746,0.870599,0.870599,0,1700.373,4817.765,50764,0
1774027413,1,132,132,2.621957,13.762629,1.375572,1.375572,1,1710.654,4788.813,50764,0
1774027413,1,133,133,2.621885,13.761641,1.629055,1.629055,1,1701.355,4814.985,50764,0
1774027413,1,134,134,2.589302,13.320465,1.667129,1.667129,1,1709.869,4791.009,50764,0
1774027413,1,135,135,2.589043,13.317017,1.108292,1.108292,1,1719.128,4765.207,50764,0
1774027413,1,136,136,2.668844,14.423283,2.044820,2.044820,1,1684.635,4862.775,50764,0
1774027413,1,137,137,2.671564,14.462576,1.455067,1.455067,1,1679.234,4878.413,50764,0
1774027413,1,138,138,2.601924,13.489670,1.265618,1.265618,1,1695.360,4832.011,50764,0
1774027413,1,139,139,2.642218,14.044317,1.686255,1.686255,1,1698.582,4822.846,50764,0
1774027413,1,140,140,2.615344,13.671916,1.652397,1.652397,1,1705.652,4802.856,50764,0
1774027413,1,141,141,2.596684,13.419166,1.243804,1.243804,1,1689.725,4848.127,50764,0
1774027413,1,142,142,2.605520,13.538257,1.152966,1.152966,1,1712.602,4783.366,50764,0
1774027413,1,143,143,2.647439,14.117844,1.471727,1.471727,1,1685.384,4860.612,50764,0
1774027413,1,144,144,2.565268,13.004141,1.289079,1.289079,1,1691.823,4842.113,50764,0
1774027413,1,145,145,2.610357,13.603901,1.147879,1.147879,1,1737.110,4715.879,50764,0
1774027413,1,146,146,2.583949,13.249358,1.026168,1.026168,1,1704.643,4805.700,50764,0
1774027413,1,147,147,2.591539,13.350307,1.249188,1.249188,1,1708.204,4795.679,50764,0
1774027413,1,148,148,2.604803,13.528564,1.530685,1.530685,1,1710.460,4789.355,50764,0
1774027413,1,149,149,2.580837,13.208192,1.257028,1.257028,1,1686.611,4857.077,50764,0
1774027413,1,150,150,2.591946,13.355735,0.997334,0.997334,0,1715.286,4775.879,50764,0
1774027413,1,151,151,2.564365,12.992401,0.964142,0.964142,0,1723.530,4753.037,50764,0
1774027413,1,152,152,2.622398,13.768697,1.315361,1.315361,1,1711.523,4786.381,50764,0
1774027413,1,153,153,2.609686,13.594780,1.108438,1.108438,1,1711.038,4787.738,50764,0
1774027413,1,154,154,2.610850,13.610620,0.696935,0.696935,0,1720.422,4761.621,50764,0
1774027413,1,155,155,2.618220,13.711294,1.005908,1.005908,1,1721.543,4758.523,50764,0
1774027413,1,156,156,2.609597,13.593575,0.931403,0.931403,0,1713.895,4779.756,50764,0
1774027413,1,157,157,2.557235,12.900103,0.671064,0.671064,0,1729.322,4737.117,50764,0
1774027413,1,158,158,2.641109,14.028756,1.586565,1.586565,1,1701.638,4814.184,50764,0
1774027413,1,159,159,2.617921,13.707198,1.266239,1.266239,1,1712.552,4783.503,50764,0
1774027413,1,160,160,2.604819,13.528780,0.811592,0.811592,0,1701.877,4813.510,50764,0
1774027413,1,161,161,2.602470,13.497030,1.838196,1.838196,1,1707.307,4798.199,50764,0
1774027413,1,162,162,2.624852,13.802537,1.525046,1.525046,1,1706.453,4800.602,50764,0
1774027413,1,163,163,2.599684,13.459484,0.828043,0.828043,0,1695.645,4831.200,50764,0
1774027413,1,164,164,2.581519,13.217201,2.087842,2.087842,1,1714.996,4776.689,50764,0
1774027413,1,165,165,2.607940,13.571069,1.741230,1.741230,1,1691.297,4843.620,50764,0
1774027413,1,166,166,2.595484,13.403076,1.173600,1.173600,1,1705.050,4804.552,50764,0
1774027413,1,167,167,2.601792,13.487885,0.794237,0.794237,0,1752.235,4675.173,50764,0
1774027413,1,168,168,2.591500,13.349785,1.405744,1.405744,1,1716.955,4771.237,50764,0
1774027413,1,169,169,2.592575,13.364135,1.412437,1.412437,1,1705.401,4803.562,50764,0
1774027413,1,170,170,2.595229,13.399654,1.573477,1.573477,1,1714.540,4777.957,50764,0
1774027413,1,171,171,2.635605,13.951752,1.129892,1.129892,1,1707.926,4796.460,50764,0
1774027413,1,172,172,2.596903,13.422100,1.457608,1.457608,1,1700.090,4818.569,50764,0
1774027413,1,173,173,2.582641,13.232033,1.615920,1.615920,1,1684.486,4863.204,50764,0
1774027413,1,174,174,2.572536,13.098995,1.147785,1.147785,1,1709.200,4792.885,50764,0
1774027413,1,175,175,2.571103,13.080245,1.683840,1.683840,1,1704.815,4805.214,50764,0
1774027413,1,176,176,2.599604,13.458406,1.099906,1.099906,1,1707.354,4798.066,50764,0
1774027413,1,177,177,2.592971,13.369437,1.174910,1.174910,1,1692.039,4841.495,50764,0
1774027413,1,178,178,2.558070,12.910877,1.994543,1.994543,1,1702.584,4811.509,50764,0
1774027413,1,179,179,2.564641,12.995992,1.311022,1.311022,1,1706.617,4800.140,50764,0
1774027413,1,180,180,2.567854,13.037817,1.545988,1.545988,1,1709.748,4791.348,50764,0
1774027413,1,181,181,2.571428,13.084491,1.994557,1.994557,1,1707.575,4797.448,50764,0
1774027413,1,182,182,2.561767,12.958691,2.157723,2.157723,1,1704.395,4806.397,50764,0
1774027413,1,183,183,2.542104,12.706380,1.097853,1.097853,1,1744.103,4696.970,50764,0
1774027413,1,184,184,2.607631,13.566875,2.169412,2.169412,1,1763.281,4645.884,50764,0
1774027413,1,185,185,2.580274,13.200753,3.159120,3.159120,1,1708.014,4796.213,50764,0
1774027413,1,186,186,2.595166,13.398817,1.684942,1.684942,1,1756.905,4662.746,50764,0
1774027413,1,187,187,2.543054,12.718452,1.286196,1.286196,1,1727.356,4742.509,50764,0
1774027413,1,188,188,2.606319,13.549088,2.541048,2.541048,1,1711.958,4785.163,50764,0
1774027413,1,189,189,2.593626,13.378190,2.423379,2.423379,1,1712.128,4784.688,50764,0
1774027413,1,190,190,2.597790,13.434012,0.712471,0.712471,0,1771.362,4624.690,50764,0
1774027413,1,191,191,2.574983,13.131092,1.440465,1.440465,1,1778.010,4607.397,50764,0
1774027413,1,192,192,2.583027,13.237148,2.210974,2.210974,1,1714.073,4779.260,50764,0
1774027413,1,193,193,2.619337,13.726618,1.218418,1.218418,1,1713.727,4780.223,50764,0
1774027413,1,194,194,2.596332,13.414438,1.217120,1.217120,1,1738.355,4712.502,50764,0
1774027413,1,195,195,2.567393,13.031810,1.165794,1.165794,1,1728.391,4739.667,50764,0
1774027413,1,196,196,2.602000,13.490696,1.382285,1.382285,1,1713.505,4780.844,50764,0
1774027413,1,197,197,2.577243,13.160802,0.823153,0.823153,0,1715.972,4773.969,50764,0
1774027413,1,198,198,2.597613,13.431643,0.931445,0.931445,0,1703.745,4808.230,50764,0
1774027413,1,199,199,2.538421,12.659661,1.268990,1.268990,1,1723.996,4751.752,50764,0
1774027413,1,200,200,2.565781,13.010818,1.132177,1.132177,1,1707.457,4797.779,50764,0
